No,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
1,10,2,N,-68,-56,-49,-46,-56,-61,-51,-58,-52,-67,-69,-68
1,10,2,E,-70,-58,-56,-45,-55,-58,-60,-58,-59,-69,-71,-71
1,10,2,S,-65,-60,-52,-43,-49,-52,-51,-55,-45,-69,-67,-68
1,10,2,W,-59,-60,-57,-44,-58,-54,-63,-53,-54,-73,-67,-65
2,18,2,N,-70,-61,-41,-49,-55,-64,-55,-52,-54,-65,-69,-67
2,18,2,E,-69,-59,-40,-45,-51,-59,-46,-55,-53,-70,-65,-73
2,18,2,S,-63,-56,-44,-56,-54,-53,-57,-55,-51,-71,-68,-73
2,18,2,W,-70,-66,-44,-46,-58,-60,-61,-56,-51,-73,-72,-74
3,34,2,N,-78,-75,-69,-72,-75,-82,-77,-72,-70,-72,-76,-66
3,34,2,E,-74,-74,-70,-74,-77,-74,-72,-80,-78,-75,-71,-60
3,34,2,S,-67,-68,-63,-67,-71,-76,-57,-76,-58,-68,-70,-52
3,34,2,W,-74,-73,-65,-61,-70,-71,-69,-67,-64,-70,-66,-53
4,42,2,N,-68,-76,-67,-70,-72,-70,-58,-66,-69,-76,-70,-46
4,42,2,E,-72,-69,-62,-65,-73,-69,-55,-62,-60,-74,-62,-49
4,42,2,S,-67,-71,-66,-71,-76,-71,-62,-64,-60,-74,-59,-47
4,42,2,W,-74,-76,-62,-72,-71,-73,-60,-66,-60,-71,-62,-49
5,2,10,N,-60,-51,-54,-46,-37,-47,-54,-57,-55,-71,-66,-72
5,2,10,E,-67,-57,-59,-53,-41,-43,-47,-59,-49,-69,-66,-67
5,2,10,S,-65,-57,-55,-59,-42,-46,-43,-55,-51,-71,-72,-72
5,2,10,W,-65,-53,-53,-53,-48,-46,-46,-57,-51,-68,-59,-68
6,10,10,N,-66,-60,-46,-49,-51,-54,-51,-58,-50,-62,-66,-68
6,10,10,E,-66,-59,-55,-45,-50,-58,-48,-48,-49,-71,-69,-68
6,10,10,S,-62,-53,-58,-55,-56,-53,-47,-45,-48,-61,-57,-70
6,10,10,W,-57,-50,-50,-48,-54,-56,-47,-57,-55,-63,-64,-70
7,18,10,N,-62,-51,-38,-52,-46,-55,-49,-54,-57,-65,-68,-68
7,18,10,E,-64,-50,-41,-47,-48,-54,-51,-53,-54,-68,-64,-65
7,18,10,S,-60,-54,-44,-60,-54,-56,-51,-55,-49,-62,-65,-69
7,18,10,W,-67,-54,-46,-48,-50,-56,-60,-54,-53,-66,-66,-64
8,26,10,N,-72,-78,-64,-78,-69,-81,-75,-74,-63,-76,-64,-64
8,26,10,E,-67,-67,-66,-73,-59,-65,-68,-66,-59,-67,-69,-61
8,26,10,S,-61,-77,-66,-74,-73,-71,-76,-68,-68,-80,-71,-64
8,26,10,W,-72,-69,-70,-75,-74,-71,-70,-70,-64,-73,-64,-62
9,34,10,N,-74,-84,-71,-75,-77,-81,-74,-76,-69,-76,-70,-61
9,34,10,E,-73,-77,-65,-75,-70,-71,-76,-75,-76,-79,-70,-71
9,34,10,S,-78,-78,-77,-76,-79,-77,-77,-77,-75,-79,-67,-69
9,34,10,W,-74,-79,-77,-70,-85,-74,-75,-76,-77,-81,-66,-63
10,42,10,N,-84,-83,-79,-76,-75,-79,-82,-80,-71,-74,-79,-59
10,42,10,E,-80,-81,-77,-76,-78,-78,-77,-77,-75,-82,-73,-64
10,42,10,S,-76,-76,-83,-84,-78,-81,-72,-79,-72,-74,-69,-70
10,42,10,W,-84,-84,-80,-74,-82,-80,-80,-81,-74,-78,-71,-67
11,2,18,N,-69,-57,-54,-57,-41,-39,-44,-51,-57,-64,-58,-66
11,2,18,E,-59,-56,-60,-57,-48,-48,-38,-52,-56,-65,-57,-69
11,2,18,S,-68,-52,-63,-61,-47,-49,-38,-51,-56,-68,-64,-69
11,2,18,W,-59,-56,-60,-59,-47,-46,-48,-52,-52,-67,-56,-66
12,10,18,N,-69,-63,-65,-76,-63,-64,-58,-61,-56,-76,-72,-81
12,10,18,E,-66,-68,-67,-69,-58,-60,-56,-61,-58,-78,-73,-84
12,10,18,S,-62,-56,-63,-58,-46,-57,-46,-48,-53,-56,-62,-69
12,10,18,W,-60,-44,-54,-62,-51,-71,-45,-58,-53,-56,-57,-65
13,18,18,N,-54,-41,-48,-52,-62,-57,-53,-51,-46,-61,-60,-62
13,18,18,E,-50,-44,-51,-58,-48,-51,-46,-50,-50,-60,-52,-65
13,18,18,S,-50,-51,-56,-58,-51,-59,-45,-50,-41,-58,-54,-61
13,18,18,W,-49,-42,-50,-58,-60,-60,-48,-52,-44,-59,-50,-57
14,26,18,N,-64,-71,-71,-75,-74,-83,-66,-71,-65,-73,-68,-71
14,26,18,E,-55,-62,-65,-72,-74,-65,-59,-67,-63,-73,-63,-73
14,26,18,S,-67,-66,-75,-73,-79,-67,-66,-73,-59,-66,-69,-78
14,26,18,W,-73,-73,-74,-81,-76,-75,-63,-76,-68,-67,-62,-75
15,34,18,N,-71,-73,-81,-87,-70,-83,-69,-75,-66,-75,-62,-68
15,34,18,E,-56,-61,-65,-63,-63,-62,-54,-55,-53,-54,-49,-59
15,34,18,S,-56,-62,-61,-67,-64,-68,-57,-55,-58,-58,-51,-65
15,34,18,W,-60,-64,-69,-66,-71,-67,-53,-56,-58,-56,-44,-62
16,42,18,N,-65,-69,-69,-74,-67,-67,-60,-57,-60,-66,-44,-65
16,42,18,E,-56,-63,-69,-70,-66,-64,-58,-53,-54,-61,-45,-63
16,42,18,S,-67,-66,-67,-67,-64,-64,-65,-57,-51,-60,-42,-66
16,42,18,W,-61,-68,-69,-72,-65,-73,-52,-52,-61,-59,-38,-67
17,2,26,N,-61,-52,-55,-77,-60,-63,-59,-49,-65,-69,-66,-76
17,2,26,E,-68,-67,-65,-73,-65,-55,-53,-46,-62,-69,-57,-72
17,2,26,S,-70,-66,-64,-70,-60,-61,-53,-47,-57,-63,-67,-73
17,2,26,W,-63,-59,-61,-69,-60,-66,-59,-56,-58,-67,-64,-74
18,10,26,N,-64,-58,-57,-75,-64,-64,-61,-66,-64,-79,-84,-77
18,10,26,E,-71,-71,-69,-77,-67,-64,-60,-64,-62,-75,-74,-83
18,10,26,S,-65,-70,-66,-80,-65,-74,-73,-61,-54,-77,-76,-79
18,10,26,W,-74,-60,-70,-77,-67,-73,-65,-60,-64,-80,-72,-79
19,18,26,N,-42,-45,-49,-54,-52,-55,-53,-52,-40,-61,-53,-73
19,18,26,E,-52,-54,-53,-57,-51,-58,-53,-47,-46,-63,-59,-69
19,18,26,S,-51,-50,-51,-62,-56,-58,-56,-51,-43,-58,-49,-67
19,18,26,W,-52,-57,-55,-61,-52,-60,-51,-50,-43,-56,-52,-72
20,26,26,N,-53,-57,-55,-60,-62,-57,-55,-57,-50,-55,-48,-68
20,26,26,E,-51,-60,-63,-55,-53,-62,-49,-55,-49,-64,-58,-67
20,26,26,S,-53,-61,-67,-62,-61,-59,-52,-53,-47,-58,-52,-65
20,26,26,W,-52,-62,-61,-66,-65,-67,-54,-58,-58,-56,-46,-62
21,34,26,N,-58,-58,-64,-61,-64,-66,-59,-59,-64,-59,-47,-62
21,34,26,E,-54,-55,-64,-61,-56,-68,-57,-63,-58,-59,-51,-62
21,34,26,S,-56,-66,-71,-65,-67,-70,-58,-57,-55,-56,-51,-66
21,34,26,W,-64,-66,-64,-68,-70,-65,-58,-62,-59,-52,-47,-67
22,42,26,N,-72,-75,-77,-80,-84,-77,-78,-75,-72,-73,-59,-73
22,42,26,E,-68,-76,-72,-77,-77,-74,-75,-74,-70,-68,-59,-74
22,42,26,S,-73,-78,-80,-82,-71,-76,-74,-78,-71,-74,-61,-80
22,42,26,W,-75,-78,-78,-77,-75,-77,-61,-65,-72,-66,-58,-76
23,2,34,N,-64,-53,-60,-78,-57,-71,-59,-56,-63,-68,-65,-72
23,2,34,E,-65,-66,-70,-71,-70,-70,-66,-54,-63,-66,-67,-75
23,2,34,S,-55,-52,-63,-66,-55,-58,-55,-49,-52,-60,-58,-70
23,2,34,W,-56,-53,-60,-66,-54,-68,-54,-49,-53,-65,-54,-66
24,10,34,N,-58,-60,-55,-62,-52,-59,-46,-51,-51,-59,-65,-71
24,10,34,E,-63,-62,-55,-61,-57,-58,-47,-54,-46,-55,-66,-70
24,10,34,S,-67,-66,-75,-76,-70,-78,-72,-65,-52,-75,-71,-87
24,10,34,W,-72,-64,-65,-74,-70,-72,-62,-60,-57,-69,-69,-81
25,18,34,N,-49,-51,-50,-60,-53,-63,-62,-57,-39,-56,-53,-64
25,18,34,E,-55,-52,-54,-66,-57,-58,-48,-52,-45,-54,-61,-71
25,18,34,S,-55,-56,-50,-68,-55,-67,-62,-51,-43,-60,-59,-70
25,18,34,W,-61,-59,-54,-62,-54,-64,-55,-52,-44,-51,-57,-65
26,26,34,N,-51,-64,-66,-62,-52,-63,-63,-63,-49,-52,-44,-68
26,26,34,E,-53,-60,-65,-62,-58,-62,-50,-52,-49,-57,-52,-65
26,26,34,S,-53,-65,-66,-63,-56,-68,-61,-57,-53,-51,-54,-71
26,26,34,W,-50,-66,-69,-66,-56,-69,-63,-57,-58,-55,-47,-71
27,34,34,N,-58,-70,-62,-76,-64,-61,-60,-60,-49,-53,-50,-73
27,34,34,E,-53,-66,-65,-66,-63,-64,-64,-54,-58,-51,-56,-72
27,34,34,S,-59,-60,-68,-65,-67,-63,-58,-62,-53,-53,-58,-72
27,34,34,W,-57,-69,-60,-71,-67,-71,-66,-59,-57,-51,-56,-73
28,2,42,N,-70,-58,-51,-61,-45,-65,-56,-57,-53,-67,-54,-66
28,2,42,E,-58,-58,-55,-70,-53,-65,-59,-52,-67,-54,-64,-69
28,2,42,S,-64,-61,-54,-62,-53,-57,-61,-55,-64,-55,-59,-75
28,2,42,W,-60,-60,-56,-68,-53,-64,-60,-52,-54,-58,-55,-67
29,10,42,N,-56,-57,-57,-71,-51,-67,-54,-49,-52,-61,-50,-69
29,10,42,E,-59,-65,-62,-68,-48,-72,-55,-49,-55,-60,-65,-68
29,10,42,S,-56,-70,-65,-65,-47,-58,-50,-48,-49,-56,-56,-63
29,10,42,W,-53,-58,-58,-65,-53,-64,-57,-54,-48,-55,-52,-66
30,18,42,N,-56,-61,-48,-59,-58,-66,-50,-62,-38,-56,-53,-73
30,18,42,E,-61,-56,-61,-66,-52,-67,-48,-58,-36,-51,-57,-73
30,18,42,S,-58,-61,-50,-53,-58,-65,-55,-56,-31,-56,-56,-76
30,18,42,W,-63,-59,-60,-60,-56,-65,-58,-53,-34,-50,-57,-72
31,26,42,N,-60,-62,-61,-61,-55,-67,-63,-61,-52,-53,-51,-67
31,26,42,E,-58,-63,-68,-59,-51,-66,-54,-52,-51,-48,-61,-68
31,26,42,S,-56,-61,-60,-66,-63,-71,-57,-56,-54,-50,-58,-68
31,26,42,W,-66,-68,-61,-66,-58,-66,-59,-63,-48,-43,-50,-74
32,34,42,N,-59,-65,-63,-64,-59,-64,-64,-64,-61,-46,-59,-73
32,34,42,E,-57,-64,-70,-66,-59,-68,-61,-52,-58,-49,-60,-73
32,34,42,S,-60,-69,-64,-62,-57,-70,-58,-55,-51,-48,-61,-75
32,34,42,W,-66,-71,-66,-72,-68,-64,-63,-63,-60,-45,-61,-72
33,42,42,N,-58,-72,-72,-65,-63,-67,-57,-64,-63,-52,-62,-70
33,42,42,E,-60,-59,-62,-63,-63,-60,-52,-51,-56,-54,-64,-79
33,42,42,S,-55,-65,-66,-65,-57,-64,-56,-56,-66,-55,-57,-68
33,42,42,W,-67,-70,-72,-72,-70,-70,-63,-57,-61,-51,-60,-74
